x utau delta99 delta* theta beta Ue Reth 
3.79394531e+02 4.46178375e-02 1.23366952e+01 2.49991908e+00 1.60049475e+00 4.80461937e-01 9.45201275e-01 6.80755355e+02
3.80859375e+02 4.45536140e-02 1.23776295e+01 2.51085454e+00 1.60716047e+00 4.86135333e-01 9.44618905e-01 6.83169375e+02
3.82324219e+02 4.44886891e-02 1.24184097e+01 2.52189106e+00 1.61387980e+00 4.91804012e-01 9.44039030e-01 6.85604485e+02
3.83789062e+02 4.44223227e-02 1.24590635e+01 2.53303163e+00 1.62065377e+00 4.97523576e-01 9.43462057e-01 6.88061404e+02
3.85253906e+02 4.43549460e-02 1.24996111e+01 2.54427844e+00 1.62748347e+00 5.03272658e-01 9.42888319e-01 6.90540820e+02
3.86718750e+02 4.42870412e-02 1.25428447e+01 2.55893468e+00 1.63770383e+00 5.10313417e-01 9.42299807e-01 6.94443601e+02
3.88183594e+02 4.42183306e-02 1.25863558e+01 2.56996496e+00 1.64440405e+00 5.16005692e-01 9.41677623e-01 6.96824324e+02
3.89648438e+02 4.41488488e-02 1.26295095e+01 2.58108825e+00 1.65115296e+00 5.21745199e-01 9.41057252e-01 6.99223262e+02
3.91113281e+02 4.40796766e-02 1.26722811e+01 2.59230014e+00 1.65794891e+00 5.27504671e-01 9.40438463e-01 7.01639515e+02
3.92578125e+02 4.40118013e-02 1.27146823e+01 2.60360079e+00 1.66479300e+00 5.33203681e-01 9.39821417e-01 7.04073652e+02
3.94042969e+02 4.39451236e-02 1.27567544e+01 2.61499192e+00 1.67168552e+00 5.38835783e-01 9.39206404e-01 7.06525985e+02
3.95507812e+02 4.38789037e-02 1.27985465e+01 2.62647499e+00 1.67862576e+00 5.44491790e-01 9.38593710e-01 7.08996409e+02
3.96972656e+02 4.38123556e-02 1.28401100e+01 2.63805237e+00 1.68561403e+00 5.50211832e-01 9.37983702e-01 7.11485320e+02
3.98437500e+02 4.37452571e-02 1.28814873e+01 2.64972693e+00 1.69265218e+00 5.55944978e-01 9.37376775e-01 7.13993779e+02
3.99902344e+02 4.36779391e-02 1.29227270e+01 2.66150231e+00 1.69974313e+00 5.61647590e-01 9.36773396e-01 7.16523365e+02
4.01367188e+02 4.36110239e-02 1.29667733e+01 2.67670741e+00 1.71026160e+00 5.68706611e-01 9.36152778e-01 7.20479766e+02
4.02832031e+02 4.35453511e-02 1.30109443e+01 2.68824264e+00 1.71721560e+00 5.74234757e-01 9.35502238e-01 7.22906565e+02
4.04296875e+02 4.34801356e-02 1.30547697e+01 2.69987390e+00 1.72422285e+00 5.79731079e-01 9.34854589e-01 7.25353938e+02
4.05761719e+02 4.34145897e-02 1.30982784e+01 2.71160343e+00 1.73128415e+00 5.85234156e-01 9.34210160e-01 7.27822460e+02
4.07226562e+02 4.33488409e-02 1.31415294e+01 2.72343470e+00 1.73840125e+00 5.90705632e-01 9.33569390e-01 7.30313185e+02
4.08691406e+02 4.32828515e-02 1.31845526e+01 2.73536905e+00 1.74557417e+00 5.96191114e-01 9.32932544e-01 7.32826329e+02
4.10156250e+02 4.32172508e-02 1.32273189e+01 2.74740262e+00 1.75279991e+00 6.01639119e-01 9.32299456e-01 7.35360480e+02
4.11621094e+02 4.31527352e-02 1.32698194e+01 2.75953161e+00 1.76007564e+00 6.07026525e-01 9.31669964e-01 7.37914322e+02
4.13085938e+02 4.30892261e-02 1.33120554e+01 2.77175322e+00 1.76739872e+00 6.12410027e-01 9.31043981e-01 7.40486671e+02
4.14550781e+02 4.30262037e-02 1.33540683e+01 2.78406817e+00 1.77476818e+00 6.17750396e-01 9.30421732e-01 7.43077297e+02
4.16015625e+02 4.29620872e-02 1.33994712e+01 2.79983683e+00 1.78560149e+00 6.24654205e-01 9.29779673e-01 7.47097186e+02
4.17480469e+02 4.28963838e-02 1.34449461e+01 2.81193804e+00 1.79284644e+00 6.29955269e-01 9.29115887e-01 7.49592949e+02
4.18945312e+02 4.28296185e-02 1.34901087e+01 2.82413827e+00 1.80014162e+00 6.35258526e-01 9.28456217e-01 7.52108703e+02
4.20410156e+02 4.27623740e-02 1.35349389e+01 2.83643152e+00 1.80748278e+00 6.40537415e-01 9.27800338e-01 7.54642410e+02
4.21875000e+02 4.26940636e-02 1.35795107e+01 2.84882148e+00 1.81487268e+00 6.45881673e-01 9.27148729e-01 7.57195604e+02
4.23339844e+02 4.26248487e-02 1.36238815e+01 2.86131333e+00 1.82231552e+00 6.51290053e-01 9.26501990e-01 7.59770529e+02
4.24804688e+02 4.25553096e-02 1.36680627e+01 2.87390693e+00 1.82981169e+00 6.56700826e-01 9.25860288e-01 7.62367490e+02
4.26269531e+02 4.24856700e-02 1.37120552e+01 2.88659965e+00 1.83735906e+00 6.62082841e-01 9.25223581e-01 7.64985569e+02
4.27734375e+02 4.24154078e-02 1.37558743e+01 2.89938982e+00 1.84495599e+00 6.67453255e-01 9.24591900e-01 7.67624113e+02
4.29199219e+02 4.23455475e-02 1.37995540e+01 2.91227914e+00 1.85260428e+00 6.72803376e-01 9.23965547e-01 7.70284136e+02
4.30664062e+02 4.22775573e-02 1.38476378e+01 2.92852530e+00 1.86369065e+00 6.79721331e-01 9.23304374e-01 7.74339176e+02
4.32128906e+02 4.22107327e-02 1.38945278e+01 2.94114915e+00 1.87119178e+00 6.84778312e-01 9.22635442e-01 7.76892534e+02
4.33593750e+02 4.21450712e-02 1.39410182e+01 2.95386284e+00 1.87874041e+00 6.89848001e-01 9.21970948e-01 7.79464836e+02
4.35058594e+02 4.20804395e-02 1.39871655e+01 2.96666786e+00 1.88633716e+00 6.94867209e-01 9.21311155e-01 7.82056561e+02
4.36523438e+02 4.20161849e-02 1.40329924e+01 2.97956407e+00 1.89398195e+00 6.99834349e-01 9.20656199e-01 7.84667802e+02
4.37988281e+02 4.19524201e-02 1.40785114e+01 2.99255114e+00 1.90167517e+00 7.04773076e-01 9.20006209e-01 7.87298833e+02
4.39453125e+02 4.18898826e-02 1.41237765e+01 3.00563293e+00 1.90941964e+00 7.09616552e-01 9.19361635e-01 7.89951224e+02
4.40917969e+02 4.18281798e-02 1.41688178e+01 3.01881067e+00 1.91721538e+00 7.14423180e-01 9.18722720e-01 7.92625197e+02
4.42382812e+02 4.17663729e-02 1.42136499e+01 3.03208307e+00 1.92506025e+00 7.19219646e-01 9.18089516e-01 7.95319933e+02
4.43847656e+02 4.17040596e-02 1.42607389e+01 3.04902712e+00 1.93653782e+00 7.25763699e-01 9.17452621e-01 7.99506765e+02
4.45312500e+02 4.16413154e-02 1.43090786e+01 3.06202730e+00 1.94423128e+00 7.30476863e-01 9.16779642e-01 8.02094245e+02
4.46777344e+02 4.15787119e-02 1.43569518e+01 3.07511209e+00 1.95196916e+00 7.35144249e-01 9.16111427e-01 8.04699564e+02
4.48242188e+02 4.15162647e-02 1.44044089e+01 3.08828456e+00 1.95975339e+00 7.39771101e-01 9.15448352e-01 8.07323854e+02
4.49707031e+02 4.14530386e-02 1.44514964e+01 3.10154665e+00 1.96758471e+00 7.44408580e-01 9.14790705e-01 8.09967692e+02
4.51171875e+02 4.13892973e-02 1.44982355e+01 3.11489700e+00 1.97546248e+00 7.49112215e-01 9.14138516e-01 8.12630851e+02
4.52636719e+02 4.13263380e-02 1.45446903e+01 3.12834019e+00 1.98339040e+00 7.53748873e-01 9.13492253e-01 8.15315294e+02
4.54101562e+02 4.12643888e-02 1.45909341e+01 3.14188311e+00 1.99137264e+00 7.58249152e-01 9.12852572e-01 8.18023335e+02
4.55566406e+02 4.12023685e-02 1.46369874e+01 3.15552552e+00 1.99940749e+00 7.62753459e-01 9.12219592e-01 8.20754409e+02
4.57031250e+02 4.11399535e-02 1.46828435e+01 3.16926379e+00 2.00749126e+00 7.67285298e-01 9.11593164e-01 8.23506889e+02
4.58496094e+02 4.10775702e-02 1.47328103e+01 3.18646069e+00 2.01911782e+00 7.73562516e-01 9.10935855e-01 8.27679070e+02
4.59960938e+02 4.10142984e-02 1.47818084e+01 3.19988258e+00 2.02702645e+00 7.78013147e-01 9.10268959e-01 8.30312664e+02
4.61425781e+02 4.09507598e-02 1.48303704e+01 3.21339005e+00 2.03498035e+00 7.82424715e-01 9.09607665e-01 8.32965176e+02
4.62890625e+02 4.08882954e-02 1.48785524e+01 3.22698719e+00 2.04298226e+00 7.86729451e-01 9.08952398e-01 8.35638132e+02
4.64355469e+02 4.08268120e-02 1.49263862e+01 3.24067443e+00 2.05103151e+00 7.90960015e-01 9.08303317e-01 8.38331426e+02
4.65820312e+02 4.07659966e-02 1.49738763e+01 3.25444914e+00 2.05912456e+00 7.95152247e-01 9.07660353e-01 8.41043578e+02
4.67285156e+02 4.07042890e-02 1.50210745e+01 3.26831431e+00 2.06726172e+00 7.99362388e-01 9.07023865e-01 8.43775073e+02
4.68750000e+02 4.06415813e-02 1.50680156e+01 3.28227131e+00 2.07544315e+00 8.03606536e-01 9.06394084e-01 8.46526228e+02
4.70214844e+02 4.05793660e-02 1.51146734e+01 3.29631613e+00 2.08366529e+00 8.07809342e-01 9.05770832e-01 8.49295461e+02
4.71679688e+02 4.05173534e-02 1.51637866e+01 3.31408642e+00 2.09559651e+00 8.13728319e-01 9.05140160e-01 8.53563851e+02
4.73144531e+02 4.04548258e-02 1.52138166e+01 3.32781019e+00 2.10363647e+00 8.17802542e-01 9.04479152e-01 8.56212899e+02
4.74609375e+02 4.03915868e-02 1.52633856e+01 3.34161733e+00 2.11171802e+00 8.21801347e-01 9.03824181e-01 8.58879814e+02
4.76074219e+02 4.03278576e-02 1.53125248e+01 3.35550770e+00 2.11984154e+00 8.25765615e-01 9.03175344e-01 8.61564875e+02
4.77539062e+02 4.02641789e-02 1.53612517e+01 3.36947886e+00 2.12800519e+00 8.29767164e-01 9.02532566e-01 8.64267294e+02
4.79003906e+02 4.02008386e-02 1.54095804e+01 3.38353042e+00 2.13620801e+00 8.33757755e-01 9.01895935e-01 8.66986793e+02
4.80468750e+02 4.01384973e-02 1.54575514e+01 3.39766449e+00 2.14445111e+00 8.37694658e-01 9.01265749e-01 8.69724150e+02
