x utau delta99 delta* theta beta Ue Reth 
4.33593750e+02 3.85207664e-02 1.50779956e+01 3.43564493e+00 2.13425861e+00 1.19975373e+00 8.80243666e-01 8.45400431e+02
4.35058594e+02 3.84398655e-02 1.51353686e+01 3.45377465e+00 2.14434987e+00 1.20970425e+00 8.79380127e-01 8.48564399e+02
4.36523438e+02 3.83605978e-02 1.51922446e+01 3.47208079e+00 2.15453041e+00 1.21963764e+00 8.78524499e-01 8.51763487e+02
4.37988281e+02 3.82796657e-02 1.52485716e+01 3.49055766e+00 2.16479184e+00 1.22976581e+00 8.77676552e-01 8.54994167e+02
4.39453125e+02 3.81964076e-02 1.53044836e+01 3.50921332e+00 2.17513471e+00 1.24012812e+00 8.76837059e-01 8.58257426e+02
4.40917969e+02 3.81119188e-02 1.53599064e+01 3.52803306e+00 2.18554667e+00 1.25057395e+00 8.76005173e-01 8.61547587e+02
4.42382812e+02 3.80268275e-02 1.54184156e+01 3.55043335e+00 2.19952792e+00 1.26395475e+00 8.75157441e-01 8.66219952e+02
4.43847656e+02 3.79415229e-02 1.54778965e+01 3.56898464e+00 2.20977164e+00 1.27429416e+00 8.74282426e-01 8.69384031e+02
4.45312500e+02 3.78541792e-02 1.55367672e+01 3.58769879e+00 2.22008895e+00 1.28483258e+00 8.73414872e-01 8.72576418e+02
4.46777344e+02 3.77645654e-02 1.55949657e+01 3.60656700e+00 2.23047657e+00 1.29556101e+00 8.72554364e-01 8.75795430e+02
4.48242188e+02 3.76746283e-02 1.56525776e+01 3.62559862e+00 2.24094423e+00 1.30640742e+00 8.71701714e-01 8.79045717e+02
4.49707031e+02 3.75872367e-02 1.57097509e+01 3.64480163e+00 2.25150008e+00 1.31702224e+00 8.70857607e-01 8.82331187e+02
4.51171875e+02 3.75045639e-02 1.57665169e+01 3.66417429e+00 2.26214184e+00 1.32731311e+00 8.70022064e-01 8.85650989e+02
4.52636719e+02 3.74241649e-02 1.58228837e+01 3.68371409e+00 2.27286456e+00 1.33757946e+00 8.69195088e-01 8.89003222e+02
4.54101562e+02 3.73437849e-02 1.58848644e+01 3.70667483e+00 2.28711460e+00 1.35093968e+00 8.68332985e-01 8.93689672e+02
4.55566406e+02 3.72631653e-02 1.59458414e+01 3.72597296e+00 2.29770837e+00 1.36100267e+00 8.67467243e-01 8.96934036e+02
4.57031250e+02 3.71819596e-02 1.60063636e+01 3.74546135e+00 2.30839471e+00 1.37112975e+00 8.66611364e-01 9.00216488e+02
4.58496094e+02 3.71029304e-02 1.60663789e+01 3.76512633e+00 2.31916547e+00 1.38102533e+00 8.65764598e-01 9.03533112e+02
4.59960938e+02 3.70261522e-02 1.61258117e+01 3.78495788e+00 2.33001323e+00 1.39068811e+00 8.64926404e-01 9.06880484e+02
4.61425781e+02 3.69486956e-02 1.61848072e+01 3.80497319e+00 2.34094614e+00 1.40058945e+00 8.64098102e-01 9.10263202e+02
4.62890625e+02 3.68703628e-02 1.62434628e+01 3.82518116e+00 2.35196874e+00 1.41065856e+00 8.63280530e-01 9.13683969e+02
4.64355469e+02 3.67911214e-02 1.63050138e+01 3.84910655e+00 2.36668488e+00 1.42428078e+00 8.62453125e-01 9.18519647e+02
4.65820312e+02 3.67115191e-02 1.63678380e+01 3.86897464e+00 2.37751243e+00 1.43456432e+00 8.61592960e-01 9.21801587e+02
4.67285156e+02 3.66318464e-02 1.64297619e+01 3.88897484e+00 2.38839674e+00 1.44465694e+00 8.60739365e-01 9.25104191e+02
4.68750000e+02 3.65506521e-02 1.64909101e+01 3.90911808e+00 2.39934394e+00 1.45481433e+00 8.59893179e-01 9.28430769e+02
4.70214844e+02 3.64689448e-02 1.65513743e+01 3.92941294e+00 2.41036020e+00 1.46499198e+00 8.59055085e-01 9.31784483e+02
4.71679688e+02 3.63868396e-02 1.66112291e+01 3.94986434e+00 2.42144676e+00 1.47525732e+00 8.58225537e-01 9.35166351e+02
